idx;pitch;tsr;Cp;Ct;Cq
0;-5.000000;2.000000;0.004183;0.060734;0.002104
1;-5.000000;2.632000;0.014528;0.082242;0.005553
2;-5.000000;3.263000;0.035083;0.116730;0.010815
3;-5.000000;3.895000;0.067497;0.165763;0.017433
4;-5.000000;4.526000;0.109296;0.227261;0.024289
5;-5.000000;5.158000;0.163377;0.304042;0.031862
6;-5.000000;5.789000;0.239912;0.408343;0.041684
7;-5.000000;6.421000;0.333600;0.545081;0.052261
8;-5.000000;7.053000;0.402440;0.676776;0.057399
9;-5.000000;7.684000;0.432644;0.789204;0.056635
10;-5.000000;8.316000;0.422710;0.884948;0.051132
11;-5.000000;8.947000;0.396284;0.973526;0.044552
12;-5.000000;9.579000;0.364006;1.060572;0.038225
13;-5.000000;10.210000;0.325277;1.148554;0.032045
14;-5.000000;10.840000;0.279585;1.238399;0.025939
15;-5.000000;11.470000;0.226506;1.330403;0.019858
16;-5.000000;12.110000;0.165936;1.424318;0.013789
17;-5.000000;12.740000;0.099525;1.517712;0.007860
18;-5.000000;13.370000;0.037721;1.597894;0.002838
19;-5.000000;14.000000;-0.007435;1.652334;-0.000534
20;-2.368000;2.000000;0.008552;0.059861;0.004301
21;-2.368000;2.632000;0.023851;0.083694;0.009117
22;-2.368000;3.263000;0.052168;0.122340;0.016081
23;-2.368000;3.895000;0.092129;0.174396;0.023794
24;-2.368000;4.526000;0.146828;0.242700;0.032630
25;-2.368000;5.158000;0.228953;0.341025;0.044651
26;-2.368000;5.789000;0.324864;0.463937;0.056444
27;-2.368000;6.421000;0.395237;0.574008;0.061917
28;-2.368000;7.053000;0.440975;0.669967;0.062895
29;-2.368000;7.684000;0.465056;0.754856;0.060878
30;-2.368000;8.316000;0.465336;0.829208;0.056288
31;-2.368000;8.947000;0.443496;0.894275;0.049860
32;-2.368000;9.579000;0.418141;0.959002;0.043910
33;-2.368000;10.210000;0.390074;1.025402;0.038429
34;-2.368000;10.840000;0.358093;1.093737;0.033223
35;-2.368000;11.470000;0.321424;1.164123;0.028179
36;-2.368000;12.110000;0.279533;1.236596;0.023228
37;-2.368000;12.740000;0.232060;1.311084;0.018327
38;-2.368000;13.370000;0.178916;1.387220;0.013463
39;-2.368000;14.000000;0.121264;1.463197;0.008713
40;0.263200;2.000000;0.013076;0.059261;0.006577
41;0.263200;2.632000;0.033841;0.086167;0.012935
42;0.263200;3.263000;0.068563;0.127912;0.021135
43;0.263200;3.895000;0.118436;0.185546;0.030589
44;0.263200;4.526000;0.196926;0.272513;0.043764
45;0.263200;5.158000;0.285997;0.377520;0.055776
46;0.263200;5.789000;0.352474;0.469175;0.061241
47;0.263200;6.421000;0.400481;0.548629;0.062738
48;0.263200;7.053000;0.435173;0.619499;0.062068
49;0.263200;7.684000;0.459322;0.684376;0.060128
50;0.263200;8.316000;0.473606;0.744815;0.057289
51;0.263200;8.947000;0.476394;0.801033;0.053558
52;0.263200;9.579000;0.464679;0.851969;0.048797
53;0.263200;10.210000;0.445602;0.900869;0.043899
54;0.263200;10.840000;0.423416;0.950327;0.039284
55;0.263200;11.470000;0.398243;1.000902;0.034914
56;0.263200;12.110000;0.369843;1.052774;0.030733
57;0.263200;12.740000;0.337924;1.106000;0.026688
58;0.263200;13.370000;0.302216;1.160588;0.022740
59;0.263200;14.000000;0.262494;1.216521;0.018860
60;2.895000;2.000000;0.017954;0.059280;0.009030
61;2.895000;2.632000;0.044146;0.089270;0.016874
62;2.895000;3.263000;0.085329;0.134560;0.026304
63;2.895000;3.895000;0.152867;0.205823;0.039481
64;2.895000;4.526000;0.234101;0.295294;0.052025
65;2.895000;5.158000;0.296203;0.372926;0.057766
66;2.895000;5.789000;0.342011;0.438187;0.059423
67;2.895000;6.421000;0.377508;0.495016;0.059139
68;2.895000;7.053000;0.406148;0.546531;0.057928
69;2.895000;7.684000;0.429497;0.594842;0.056223
70;2.895000;8.316000;0.448041;0.641080;0.054197
71;2.895000;8.947000;0.461471;0.685541;0.051881
72;2.895000;9.579000;0.468984;0.728093;0.049249
73;2.895000;10.210000;0.469191;0.768223;0.046223
74;2.895000;10.840000;0.460215;0.805068;0.042698
75;2.895000;11.470000;0.444906;0.839866;0.039005
76;2.895000;12.110000;0.426424;0.874228;0.035434
77;2.895000;12.740000;0.405286;0.908612;0.032008
78;2.895000;13.370000;0.381569;0.943248;0.028711
79;2.895000;14.000000;0.355204;0.978252;0.025522
80;5.526000;2.000000;0.023246;0.059906;0.011692
81;5.526000;2.632000;0.054123;0.092499;0.020688
82;5.526000;3.263000;0.106367;0.145959;0.032789
83;5.526000;3.895000;0.179485;0.221912;0.046356
84;5.526000;4.526000;0.238344;0.289627;0.052968
85;5.526000;5.158000;0.280800;0.343772;0.054762
86;5.526000;5.789000;0.313180;0.388419;0.054414
87;5.526000;6.421000;0.339368;0.427267;0.053165
88;5.526000;7.053000;0.361342;0.462685;0.051538
89;5.526000;7.684000;0.379883;0.495775;0.049729
90;5.526000;8.316000;0.395244;0.526972;0.047810
91;5.526000;8.947000;0.407453;0.556467;0.045808
92;5.526000;9.579000;0.416461;0.584372;0.043733
93;5.526000;10.210000;0.422138;0.610728;0.041587
94;5.526000;10.840000;0.424264;0.635511;0.039362
95;5.526000;11.470000;0.422523;0.658637;0.037043
96;5.526000;12.110000;0.416456;0.679940;0.034606
97;5.526000;12.740000;0.405362;0.699104;0.032014
98;5.526000;13.370000;0.388958;0.715989;0.029267
99;5.526000;14.000000;0.368798;0.731405;0.026498
100;8.158000;2.000000;0.028797;0.060955;0.014483
101;8.158000;2.632000;0.065155;0.097188;0.024905
102;8.158000;3.263000;0.126719;0.158289;0.039063
103;8.158000;3.895000;0.184226;0.219656;0.047581
104;8.158000;4.526000;0.224125;0.266249;0.049808
105;8.158000;5.158000;0.252396;0.301463;0.049223
106;8.158000;5.789000;0.273733;0.329699;0.047560
107;8.158000;6.421000;0.290473;0.353489;0.045505
108;8.158000;7.053000;0.303497;0.373845;0.043287
109;8.158000;7.684000;0.313246;0.391305;0.041006
110;8.158000;8.316000;0.319950;0.406175;0.038702
111;8.158000;8.947000;0.323743;0.418669;0.036397
112;8.158000;9.579000;0.324694;0.428945;0.034097
113;8.158000;10.210000;0.322825;0.437120;0.031804
114;8.158000;10.840000;0.318123;0.443293;0.029515
115;8.158000;11.470000;0.310551;0.447555;0.027226
116;8.158000;12.110000;0.300051;0.449982;0.024933
117;8.158000;12.740000;0.286537;0.450627;0.022630
118;8.158000;13.370000;0.269906;0.449524;0.020309
119;8.158000;14.000000;0.250044;0.446695;0.017966
120;10.790000;2.000000;0.034398;0.062277;0.017301
121;10.790000;2.632000;0.078342;0.104489;0.029946
122;10.790000;3.263000;0.134796;0.160796;0.041553
123;10.790000;3.895000;0.174698;0.204048;0.045120
124;10.790000;4.526000;0.199908;0.233050;0.044427
125;10.790000;5.158000;0.216375;0.253183;0.042198
126;10.790000;5.789000;0.226976;0.267276;0.039436
127;10.790000;6.421000;0.232755;0.276464;0.036463
128;10.790000;7.053000;0.234290;0.281420;0.033416
129;10.790000;7.684000;0.231892;0.282533;0.030356
130;10.790000;8.316000;0.225727;0.280069;0.027305
131;10.790000;8.947000;0.215870;0.274227;0.024269
132;10.790000;9.579000;0.202328;0.265169;0.021247
133;10.790000;10.210000;0.185054;0.253036;0.018231
134;10.790000;10.840000;0.163968;0.237956;0.015213
135;10.790000;11.470000;0.138956;0.220031;0.012182
136;10.790000;12.110000;0.109877;0.199337;0.009130
137;10.790000;12.740000;0.076570;0.175933;0.006047
138;10.790000;13.370000;0.038866;0.149868;0.002924
139;10.790000;14.000000;-0.003414;0.121184;-0.000245
140;13.420000;2.000000;0.040294;0.064157;0.020266
141;13.420000;2.632000;0.088804;0.110101;0.033945
142;13.420000;3.263000;0.131887;0.153648;0.040655
143;13.420000;3.895000;0.156824;0.180376;0.040503
144;13.420000;4.526000;0.169919;0.195296;0.037762
145;13.420000;5.158000;0.175204;0.202127;0.034169
146;13.420000;5.789000;0.174102;0.202365;0.030250
147;13.420000;6.421000;0.167308;0.196822;0.026210
148;13.420000;7.053000;0.155195;0.185984;0.022135
149;13.420000;7.684000;0.137909;0.170164;0.018053
150;13.420000;8.316000;0.115425;0.149597;0.013962
151;13.420000;8.947000;0.087597;0.124471;0.009848
152;13.420000;9.579000;0.054221;0.094943;0.005694
153;13.420000;10.210000;0.015070;0.061156;0.001485
154;13.420000;10.840000;-0.030112;0.023219;-0.002794
155;13.420000;11.470000;-0.081606;-0.018784;-0.007154
156;13.420000;12.110000;-0.139708;-0.064788;-0.011609
157;13.420000;12.740000;-0.204724;-0.114738;-0.016168
158;13.420000;13.370000;-0.276967;-0.168590;-0.020840
159;13.420000;14.000000;-0.356756;-0.226304;-0.025633
160;16.050000;2.000000;0.047129;0.067240;0.023704
161;16.050000;2.632000;0.092608;0.110301;0.035399
162;16.050000;3.263000;0.121585;0.139474;0.037480
163;16.050000;3.895000;0.134064;0.152611;0.034625
164;16.050000;4.526000;0.136059;0.155107;0.030237
165;16.050000;5.158000;0.129721;0.149036;0.025298
166;16.050000;5.789000;0.115954;0.135459;0.020147
167;16.050000;6.421000;0.095180;0.114976;0.014911
168;16.050000;7.053000;0.067363;0.087929;0.009608
169;16.050000;7.684000;0.032249;0.054579;0.004222
170;16.050000;8.316000;-0.010492;0.015151;-0.001269
171;16.050000;8.947000;-0.061232;-0.030165;-0.006884
172;16.050000;9.579000;-0.120379;-0.081206;-0.012641
173;16.050000;10.210000;-0.188371;-0.137842;-0.018558
174;16.050000;10.840000;-0.265678;-0.199981;-0.024649
175;16.050000;11.470000;-0.352786;-0.267549;-0.030929
176;16.050000;12.110000;-0.450192;-0.340485;-0.037409
177;16.050000;12.740000;-0.558401;-0.418740;-0.044100
178;16.050000;13.370000;-0.677907;-0.502258;-0.051009
179;16.050000;14.000000;-0.809181;-0.590968;-0.058140
180;18.680000;2.000000;0.053808;0.070576;0.027063
181;18.680000;2.632000;0.090398;0.105236;0.034554
182;18.680000;3.263000;0.106602;0.121113;0.032861
183;18.680000;3.895000;0.108187;0.122588;0.027942
184;18.680000;4.526000;0.099086;0.113183;0.022020
185;18.680000;5.158000;0.080591;0.094351;0.015717
186;18.680000;5.789000;0.053053;0.066802;0.009218
187;18.680000;6.421000;0.016217;0.030928;0.002540
188;18.680000;7.053000;-0.030370;-0.012948;-0.004332
189;18.680000;7.684000;-0.087249;-0.064553;-0.011421
190;18.680000;8.316000;-0.155017;-0.123651;-0.018751
191;18.680000;8.947000;-0.234314;-0.190047;-0.026343
192;18.680000;9.579000;-0.325817;-0.263586;-0.034215
193;18.680000;10.210000;-0.430168;-0.344088;-0.042379
194;18.680000;10.840000;-0.547899;-0.431296;-0.050833
195;18.680000;11.470000;-0.679510;-0.524957;-0.059573
196;18.680000;12.110000;-0.825504;-0.624854;-0.068596
197;18.680000;12.740000;-0.986390;-0.730801;-0.077901
198;18.680000;13.370000;-1.162688;-0.842642;-0.087486
199;18.680000;14.000000;-1.354921;-0.960241;-0.097352
200;21.320000;2.000000;0.057993;0.071990;0.029168
201;21.320000;2.632000;0.083572;0.095911;0.031945
202;21.320000;3.263000;0.088719;0.100398;0.027349
203;21.320000;3.895000;0.079927;0.090972;0.020643
204;21.320000;4.526000;0.059484;0.069904;0.013220
205;21.320000;5.158000;0.027761;0.038127;0.005414
206;21.320000;5.789000;-0.015678;-0.003888;-0.002724
207;21.320000;6.421000;-0.071529;-0.055750;-0.011206
208;21.320000;7.053000;-0.140598;-0.117117;-0.020053
209;21.320000;7.684000;-0.223737;-0.187673;-0.029288
210;21.320000;8.316000;-0.321542;-0.266868;-0.038895
211;21.320000;8.947000;-0.434191;-0.353850;-0.048814
212;21.320000;9.579000;-0.561780;-0.447819;-0.058994
213;21.320000;10.210000;-0.704475;-0.548129;-0.069402
214;21.320000;10.840000;-0.862513;-0.654260;-0.080022
215;21.320000;11.470000;-1.036172;-0.765785;-0.090842
216;21.320000;12.110000;-1.225802;-0.882379;-0.101860
217;21.320000;12.740000;-1.431931;-1.003895;-0.113088
218;21.320000;13.370000;-1.655209;-1.130292;-0.124546
219;21.320000;14.000000;-1.896339;-1.261571;-0.136253
220;23.950000;2.000000;0.058951;0.070735;0.029650
221;23.950000;2.632000;0.073569;0.083785;0.028121
222;23.950000;3.263000;0.068791;0.078094;0.021206
223;23.950000;3.895000;0.049652;0.058103;0.012824
224;23.950000;4.526000;0.016949;0.025236;0.003767
225;23.950000;5.158000;-0.029928;-0.019950;-0.005837
226;23.950000;5.789000;-0.091943;-0.076971;-0.015975
227;23.950000;6.421000;-0.170062;-0.145258;-0.026641
228;23.950000;7.053000;-0.264045;-0.223158;-0.037660
229;23.950000;7.684000;-0.372811;-0.308470;-0.048803
230;23.950000;8.316000;-0.495464;-0.399414;-0.059933
231;23.950000;8.947000;-0.631316;-0.494592;-0.070976
232;23.950000;9.579000;-0.780269;-0.593275;-0.081938
233;23.950000;10.210000;-0.942914;-0.695386;-0.092892
234;23.950000;10.840000;-1.120134;-0.801078;-0.103923
235;23.950000;11.470000;-1.312951;-0.910597;-0.115107
236;23.950000;12.110000;-1.522456;-1.024219;-0.126511
237;23.950000;12.740000;-1.749759;-1.142208;-0.138189
238;23.950000;13.370000;-1.995993;-1.264826;-0.150188
239;23.950000;14.000000;-2.262341;-1.392343;-0.162550
240;26.580000;2.000000;0.056907;0.066840;0.028622
241;26.580000;2.632000;0.061407;0.069829;0.023472
242;26.580000;3.263000;0.047244;0.054591;0.014564
243;26.580000;3.895000;0.017175;0.024034;0.004436
244;26.580000;4.526000;-0.029396;-0.021044;-0.006533
245;26.580000;5.158000;-0.093612;-0.079983;-0.018256
246;26.580000;5.789000;-0.174928;-0.150446;-0.030393
247;26.580000;6.421000;-0.270275;-0.228042;-0.042340
248;26.580000;7.053000;-0.376585;-0.308858;-0.053712
249;26.580000;7.684000;-0.492396;-0.390846;-0.064457
250;26.580000;8.316000;-0.618709;-0.474315;-0.074841
251;26.580000;8.947000;-0.757268;-0.560174;-0.085136
252;26.580000;9.579000;-0.909948;-0.649365;-0.095556
253;26.580000;10.210000;-1.078621;-0.742749;-0.106262
254;26.580000;10.840000;-1.265031;-0.841007;-0.117367
255;26.580000;11.470000;-1.470710;-0.944564;-0.128938
256;26.580000;12.110000;-1.697101;-1.053732;-0.141023
257;26.580000;12.740000;-1.945607;-1.168762;-0.153656
258;26.580000;13.370000;-2.217511;-1.289799;-0.166856
259;26.580000;14.000000;-2.513981;-1.416896;-0.180630
260;29.210000;2.000000;0.052360;0.060702;0.026335
261;29.210000;2.632000;0.047713;0.054598;0.018238
262;29.210000;3.263000;0.024090;0.030022;0.007426
263;29.210000;3.895000;-0.018082;-0.011370;-0.004670
264;29.210000;4.526000;-0.079729;-0.068414;-0.017719
265;29.210000;5.158000;-0.157541;-0.135882;-0.030724
266;29.210000;5.789000;-0.244852;-0.205982;-0.042542
267;29.210000;6.421000;-0.338551;-0.274923;-0.053036
268;29.210000;7.053000;-0.440727;-0.343983;-0.062860
269;29.210000;7.684000;-0.554948;-0.415665;-0.072646
270;29.210000;8.316000;-0.684596;-0.492118;-0.082811
271;29.210000;8.947000;-0.831922;-0.574300;-0.093529
272;29.210000;9.579000;-0.998339;-0.662353;-0.104838
273;29.210000;10.210000;-1.185143;-0.756307;-0.116756
274;29.210000;10.840000;-1.393761;-0.856290;-0.129310
275;29.210000;11.470000;-1.625580;-0.962388;-0.142516
276;29.210000;12.110000;-1.881847;-1.074577;-0.156375
277;29.210000;12.740000;-2.163742;-1.192788;-0.170884
278;29.210000;13.370000;-2.472435;-1.316951;-0.186038
279;29.210000;14.000000;-2.809119;-1.447018;-0.201836
280;31.840000;2.000000;0.045879;0.052869;0.023075
281;31.840000;2.632000;0.032764;0.038347;0.012524
282;31.840000;3.263000;-0.000932;0.004400;-0.000287
283;31.840000;3.895000;-0.055707;-0.047263;-0.014388
284;31.840000;4.526000;-0.125829;-0.108797;-0.027964
285;31.840000;5.158000;-0.201469;-0.169256;-0.039291
286;31.840000;5.789000;-0.282403;-0.227504;-0.049067
287;31.840000;6.421000;-0.374587;-0.288292;-0.058682
288;31.840000;7.053000;-0.482770;-0.354952;-0.068857
289;31.840000;7.684000;-0.608268;-0.427424;-0.079626
290;31.840000;8.316000;-0.751969;-0.505231;-0.090961
291;31.840000;8.947000;-0.915179;-0.588276;-0.102889
292;31.840000;9.579000;-1.099511;-0.676710;-0.115462
293;31.840000;10.210000;-1.306571;-0.770666;-0.128719
294;31.840000;10.840000;-1.537797;-0.870140;-0.142673
295;31.840000;11.470000;-1.794579;-0.975089;-0.157332
296;31.840000;12.110000;-2.078375;-1.085515;-0.172706
297;31.840000;12.740000;-2.390678;-1.201440;-0.188806
298;31.840000;13.370000;-2.732975;-1.322883;-0.205642
299;31.840000;14.000000;-3.106746;-1.449859;-0.223221
300;34.470000;2.000000;0.038003;0.043823;0.019114
301;34.470000;2.632000;0.016578;0.021206;0.006337
302;34.470000;3.263000;-0.027634;-0.021811;-0.008518
303;34.470000;3.895000;-0.088857;-0.076944;-0.022949
304;34.470000;4.526000;-0.154070;-0.129794;-0.034240
305;34.470000;5.158000;-0.225214;-0.181079;-0.043922
306;34.470000;5.789000;-0.310236;-0.237342;-0.053903
307;34.470000;6.421000;-0.411011;-0.299001;-0.064388
308;34.470000;7.053000;-0.527917;-0.364933;-0.075296
309;34.470000;7.684000;-0.662234;-0.434826;-0.086690
310;34.470000;8.316000;-0.816482;-0.509359;-0.098764
311;34.470000;8.947000;-0.993282;-0.589217;-0.111669
