idx;pitch;tsr;Cp;Ct;Cq;dCqdpitch;dCqdtsr;stall
0;-5.00;2.00;0.005935;0.326180;0.002967;0.008272;0.001722;1
1;-5.00;2.25;0.011330;0.341183;0.005035;0.009859;0.002186;1
2;-5.00;2.50;0.019742;0.362890;0.007897;0.013139;0.002731;1
3;-5.00;2.75;0.031914;0.390027;0.011605;0.016940;0.003457;1
4;-5.00;3.00;0.049101;0.422949;0.016367;0.020288;0.004159;1
5;-5.00;3.25;0.070685;0.460393;0.021749;0.021325;0.004458;1
6;-5.00;3.50;0.094603;0.499870;0.027029;0.020345;0.004488;1
7;-5.00;3.75;0.119707;0.540222;0.031922;0.018026;0.004272;1
8;-5.00;4.00;0.144170;0.579813;0.036043;0.015651;0.004130;1
9;-5.00;4.25;0.168926;0.619705;0.039747;0.014616;0.004425;1
10;-5.00;4.50;0.195078;0.661380;0.043351;0.013926;0.004563;1
11;-5.00;4.75;0.221875;0.703582;0.046711;0.013560;0.004904;1
12;-5.00;5.00;0.250653;0.747676;0.050131;0.014039;0.005411;1
13;-5.00;5.25;0.282083;0.793629;0.053730;0.014726;0.005827;1
14;-5.00;5.50;0.316216;0.840668;0.057494;0.015502;0.006347;1
15;-5.00;5.75;0.353516;0.889639;0.061481;0.016667;0.007010;1
16;-5.00;6.00;0.394964;0.945185;0.065827;0.014335;0.006685;1
17;-5.00;6.25;0.429052;1.009001;0.068648;0.005011;0.004805;1
18;-5.00;6.50;0.444165;1.060567;0.068333;-0.007246;0.002024;1
19;-5.00;6.75;0.438923;1.092774;0.065026;-0.013919;0.001752;1
20;-5.00;7.00;0.429615;1.120197;0.061374;-0.014652;0.001741;1
21;-5.00;7.25;0.418323;1.145984;0.057700;-0.014508;0.001856;1
22;-5.00;7.50;0.405898;1.170586;0.054120;-0.014081;0.001977;1
23;-5.00;7.75;0.392608;1.194314;0.050659;-0.013580;0.002137;1
24;-5.00;8.00;0.378639;1.217936;0.047330;-0.013143;0.002264;1
25;-5.00;8.25;0.363723;1.241630;0.044088;-0.012748;0.002433;1
26;-5.00;8.50;0.348125;1.265789;0.040956;-0.012257;0.002690;1
27;-5.00;8.75;0.332142;1.290714;0.037959;-0.011778;0.002955;1
28;-5.00;9.00;0.315601;1.316311;0.035067;-0.011395;0.003229;1
29;-5.00;9.25;0.298420;1.342540;0.032262;-0.011056;0.003528;1
30;-5.00;9.50;0.280618;1.369483;0.029539;-0.010774;0.003812;1
31;-5.00;9.75;0.262025;1.397032;0.026874;-0.010590;0.004068;1
32;-5.00;10.00;0.242438;1.425018;0.024244;-0.010522;0.004316;1
33;-4.50;2.00;0.007656;0.325397;0.003828;0.009201;0.001736;1
34;-4.50;2.25;0.013789;0.341259;0.006128;0.010868;0.002204;1
35;-4.50;2.50;0.023156;0.363684;0.009262;0.014411;0.002754;1
36;-4.50;2.75;0.036668;0.391546;0.013334;0.018368;0.003504;1
37;-4.50;3.00;0.055340;0.425106;0.018447;0.021289;0.004148;1
38;-4.50;3.25;0.077929;0.462489;0.023978;0.021654;0.004385;1
39;-4.50;3.50;0.102456;0.501291;0.029273;0.020160;0.004389;1
40;-4.50;3.75;0.127718;0.540480;0.034058;0.017668;0.004138;1
41;-4.50;4.00;0.152429;0.579030;0.038107;0.015804;0.004099;1
42;-4.50;4.25;0.178330;0.618736;0.041960;0.015050;0.004374;1
43;-4.50;4.50;0.205346;0.659691;0.045632;0.014405;0.004518;1
44;-4.50;4.75;0.233522;0.701544;0.049163;0.014407;0.004900;1
45;-4.50;5.00;0.264180;0.745471;0.052836;0.014962;0.005349;1
46;-4.50;5.25;0.297379;0.790487;0.056644;0.015663;0.005768;1
47;-4.50;5.50;0.333671;0.836979;0.060667;0.016684;0.006290;1
48;-4.50;5.75;0.373669;0.886854;0.064986;0.017004;0.006883;1
49;-4.50;6.00;0.415018;0.945698;0.069170;0.012130;0.006097;1
50;-4.50;6.25;0.444067;1.005789;0.071051;0.000350;0.003886;1
51;-4.50;6.50;0.450742;1.047871;0.069345;-0.010298;0.001728;1
52;-4.50;6.75;0.444837;1.076153;0.065902;-0.014201;0.001662;1
53;-4.50;7.00;0.435710;1.101439;0.062244;-0.014548;0.001686;1
54;-4.50;7.25;0.425051;1.124873;0.058628;-0.014272;0.001807;1
55;-4.50;7.50;0.413313;1.146866;0.055108;-0.013800;0.001921;1
56;-4.50;7.75;0.400889;1.168331;0.051728;-0.013293;0.002047;1
57;-4.50;8.00;0.387695;1.189846;0.048462;-0.012847;0.002159;1
58;-4.50;8.25;0.373758;1.211659;0.045304;-0.012322;0.002346;1
59;-4.50;8.50;0.359557;1.234197;0.042301;-0.011735;0.002593;1
60;-4.50;8.75;0.345071;1.257535;0.039437;-0.011240;0.002851;1
61;-4.50;9.00;0.330130;1.281574;0.036681;-0.010822;0.003131;1
62;-4.50;9.25;0.314736;1.306343;0.034025;-0.010473;0.003416;1
63;-4.50;9.50;0.298724;1.331677;0.031445;-0.010234;0.003671;1
64;-4.50;9.75;0.281859;1.357413;0.028909;-0.010085;0.003901;1
65;-4.50;10.00;0.264019;1.383452;0.026402;-0.010027;0.004130;1
66;-4.00;2.00;0.009406;0.324761;0.004703;0.010144;0.001759;1
67;-4.00;2.25;0.016288;0.341462;0.007239;0.011896;0.002240;1
68;-4.00;2.50;0.026628;0.364516;0.010651;0.015739;0.002812;1
69;-4.00;2.75;0.041548;0.393158;0.015108;0.019729;0.003582;1
70;-4.00;3.00;0.061546;0.427156;0.020515;0.022051;0.004107;1
71;-4.00;3.25;0.084936;0.464235;0.026134;0.021806;0.004232;1
72;-4.00;3.50;0.109965;0.502323;0.031418;0.019851;0.004169;1
73;-4.00;3.75;0.135223;0.540223;0.036060;0.017447;0.003912;1
74;-4.00;4.00;0.160567;0.578176;0.040142;0.016124;0.004047;1
75;-4.00;4.25;0.187517;0.617615;0.044122;0.015454;0.004252;1
76;-4.00;4.50;0.215410;0.657807;0.047869;0.014978;0.004448;1
77;-4.00;4.75;0.245151;0.699536;0.051611;0.015221;0.004864;1
78;-4.00;5.00;0.277397;0.742732;0.055479;0.015775;0.005222;1
79;-4.00;5.25;0.312365;0.786926;0.059498;0.016610;0.005684;1
80;-4.00;5.50;0.350813;0.833205;0.063784;0.017733;0.006205;1
81;-4.00;5.75;0.393096;0.885519;0.068364;0.016280;0.006295;1
82;-4.00;6.00;0.431545;0.946795;0.071924;0.008339;0.004703;1
83;-4.00;6.25;0.453337;0.999212;0.072534;-0.003727;0.002076;1
84;-4.00;6.50;0.455394;1.032976;0.070061;-0.011692;0.001272;1
85;-4.00;6.75;0.450143;1.059053;0.066688;-0.014002;0.001453;1
86;-4.00;7.00;0.441417;1.082009;0.063060;-0.014363;0.001592;1
87;-4.00;7.25;0.431423;1.102924;0.059507;-0.014038;0.001680;1
88;-4.00;7.50;0.420305;1.122448;0.056041;-0.013601;0.001766;1
89;-4.00;7.75;0.408470;1.141844;0.052706;-0.013104;0.001833;1
90;-4.00;8.00;0.395911;1.161498;0.049489;-0.012544;0.001944;1
91;-4.00;8.25;0.383079;1.181768;0.046434;-0.011879;0.002149;1
92;-4.00;8.50;0.370169;1.202904;0.043549;-0.011247;0.002385;1
93;-4.00;8.75;0.357091;1.224847;0.040810;-0.010703;0.002641;1
94;-4.00;9.00;0.343779;1.247541;0.038198;-0.010265;0.002908;1
95;-4.00;9.25;0.330018;1.270867;0.035678;-0.009977;0.003139;1
96;-4.00;9.50;0.315489;1.294532;0.033209;-0.009805;0.003339;1
97;-4.00;9.75;0.300058;1.318463;0.030775;-0.009671;0.003540;1
98;-4.00;10.00;0.283741;1.342691;0.028374;-0.009604;0.003756;1
99;-3.50;2.00;0.011174;0.324229;0.005587;0.011125;0.001782;1
100;-3.50;2.25;0.018828;0.341757;0.008368;0.012974;0.002277;1
101;-3.50;2.50;0.030185;0.365430;0.012074;0.017095;0.002887;1
102;-3.50;2.75;0.046517;0.394821;0.016915;0.020960;0.003633;1
103;-3.50;3.00;0.067661;0.429053;0.022554;0.022589;0.004031;1
104;-3.50;3.25;0.091682;0.465641;0.028210;0.021778;0.004075;1
105;-3.50;3.50;0.117049;0.502856;0.033443;0.019521;0.003930;1
106;-3.50;3.75;0.142389;0.539649;0.037970;0.017423;0.003772;1
107;-3.50;4.00;0.168617;0.577291;0.042154;0.016484;0.003992;1
108;-3.50;4.25;0.196401;0.616185;0.046212;0.015853;0.004126;1
109;-3.50;4.50;0.225364;0.655908;0.050081;0.015629;0.004403;1
110;-3.50;4.75;0.256627;0.697267;0.054027;0.015954;0.004751;1
111;-3.50;5.00;0.290289;0.739527;0.058058;0.016603;0.005113;1
112;-3.50;5.25;0.327223;0.783247;0.062328;0.017630;0.005578;1
113;-3.50;5.50;0.367801;0.830231;0.066873;0.017905;0.005928;1
114;-3.50;5.75;0.409863;0.885600;0.071281;0.013999;0.005286;1
115;-3.50;6.00;0.443235;0.944032;0.073872;0.003693;0.002941;1
116;-3.50;6.25;0.457044;0.987179;0.073127;-0.006510;0.000927;1
117;-3.50;6.50;0.459013;1.016699;0.070617;-0.011545;0.000897;1
118;-3.50;6.75;0.454642;1.041138;0.067354;-0.013561;0.001197;1
119;-3.50;7.00;0.446857;1.061710;0.063837;-0.014094;0.001444;1
120;-3.50;7.25;0.437229;1.080066;0.060307;-0.013925;0.001474;1
121;-3.50;7.50;0.426554;1.097535;0.056874;-0.013494;0.001520;1
122;-3.50;7.75;0.415095;1.115138;0.053561;-0.012937;0.001582;1
123;-3.50;8.00;0.403245;1.133240;0.050406;-0.012215;0.001726;1
124;-3.50;8.25;0.391487;1.152206;0.047453;-0.011439;0.001928;1
125;-3.50;8.50;0.379832;1.172117;0.044686;-0.010750;0.002164;1
126;-3.50;8.75;0.368182;1.192908;0.042078;-0.010195;0.002416;1
127;-3.50;9.00;0.356300;1.214367;0.039589;-0.009826;0.002639;1
128;-3.50;9.25;0.343775;1.236153;0.037165;-0.009610;0.002827;1
129;-3.50;9.50;0.330444;1.258119;0.034784;-0.009433;0.003013;1
130;-3.50;9.75;0.316369;1.280320;0.032448;-0.009252;0.003218;1
131;-3.50;10.00;0.301576;1.302798;0.030158;-0.009162;0.003438;1
